id,time,x,y,z,theta,vx,vy,vz,wx,wy,wz
2022-12-14-08-02-07,1671026557.4309654,-48.970219002745175,134.45561778915277,-12.494117317029295,-1.0987762828904746,0.3311895430088043,-0.4991987347602844,-0.10122904926538467,0.13352468609809875,-0.03903145343065262,-0.20611447095870972
2022-12-14-08-02-07,1671026557.4309723,-48.956016286186205,134.4342660328519,-12.499069098584465,-1.1112252564300054,0.36871814727783203,-0.518524169921875,-0.13078872859477997,-0.057239823043346405,0.006652984768152237,-0.33808979392051697
2022-12-14-08-02-07,1671026557.4789615,-48.94095626316329,134.41498708137465,-12.504364333930877,-1.1224880915952589,0.4299790859222412,-0.5473724007606506,-0.14935272932052612,0.07526811957359314,-0.06715799868106842,-0.3007766306400299
2022-12-14-08-02-07,1671026557.5056791,-48.92270732367277,134.39182439831433,-12.510057995560835,-1.1342417624092758,0.5080128908157349,-0.614560604095459,-0.12758652865886688,0.11667036265134811,-0.15640559792518616,-0.29323309659957886
2022-12-14-08-02-07,1671026557.5469375,-48.903062010179106,134.3662698959879,-12.5136748945215,-1.1423571887903332,0.5380106568336487,-0.6867867112159729,-0.04839199036359787,0.1015324592590332,-0.3636036813259125,-0.19624383747577667
2022-12-14-08-02-07,1671026557.5909402,-48.88425275124063,134.34029873177457,-12.516590053343826,-1.1506757784258217,0.4402849078178406,-0.6371850371360779,-0.07962752133607864,0.2823151648044586,-0.10898788273334503,-0.2963661849498749
2022-12-14-08-02-07,1671026557.6349835,-48.86771488854697,134.31546898681313,-12.517947750017171,-1.164003200362813,0.34840235114097595,-0.5841801166534424,-0.024863269180059433,-0.05373424291610718,0.31250596046447754,-0.3168098032474518
2022-12-14-08-02-07,1671026557.6829576,-48.85475347269347,134.293662398346,-12.518157931539362,-1.1772625580639682,0.31825971603393555,-0.5402538180351257,0.012800484895706177,-0.08842868357896805,0.06452291458845139,-0.3168700039386749
2022-12-14-08-02-07,1671026557.7269394,-48.84363325298349,134.2712379044669,-12.517523804830624,-1.1903153569443992,0.26236987113952637,-0.5297397375106812,0.016116630285978317,-0.1507822573184967,0.0571913942694664,-0.2925950884819031
2022-12-14-08-02-07,1671026557.7709818,-48.83520375598096,134.24979044161086,-12.51808297082259,-1.2012496145673492,0.21997898817062378,-0.5540456771850586,-0.023623056709766388,0.055100031197071075,-0.0840320885181427,-0.30481719970703125
2022-12-14-08-02-07,1671026557.8150034,-48.827999261364575,134.22545425719727,-12.519520745276129,-1.2140050600611096,0.15698960423469543,-0.6110576391220093,-0.044261589646339417,-0.02463209629058838,0.11341825127601624,-0.2715209424495697
2022-12-14-08-02-07,1671026557.858953,-48.8221825271673,134.19932204273152,-12.522062724345558,-1.2244559988413355,0.14024889469146729,-0.7042385935783386,-0.0774085521697998,0.02101273089647293,-0.08907732367515564,-0.28005799651145935
2022-12-14-08-02-07,1671026557.902967,-48.81855617205009,134.169405058167,-12.525962439460738,-1.2355190485234906,0.09795022010803223,-0.8062629103660583,-0.09566351771354675,-0.0003585517406463623,0.17420388758182526,-0.28494328260421753
2022-12-14-08-02-07,1671026557.950946,-48.814868447806205,134.13564630043305,-12.528885999179789,-1.2483216441206515,0.09595882892608643,-0.8975962996482849,-0.057261597365140915,-0.23164084553718567,0.25403353571891785,-0.35512733459472656
2022-12-14-08-02-07,1671026557.9509552,-48.810763549282406,134.10300733315157,-12.53170596499137,-1.2567298854136557,0.10817092657089233,-0.7723265886306763,-0.07127940654754639,0.1811116486787796,0.20634660124778748,-0.12862363457679749
2022-12-14-08-02-07,1671026557.998981,-48.80692282224031,134.07339833855832,-12.534069166332532,-1.2627549773431928,0.13166481256484985,-0.6652695536613464,-0.059961188584566116,0.20128121972084045,-0.25224360823631287,-0.16875289380550385
2022-12-14-08-02-07,1671026558.0248778,-48.802393872030734,134.04879582423257,-12.536223556420339,-1.2700532257868704,0.1232406497001648,-0.6030803918838501,-0.041790951043367386,0.1421368271112442,-0.15101145207881927,-0.227223202586174
2022-12-14-08-02-07,1671026558.0669346,-48.796382947720545,134.02444370655826,-12.537701075695326,-1.2804126688428608,0.1498328447341919,-0.5666712522506714,-0.03817782178521156,-0.04623129963874817,-0.2290886491537094,-0.2730674743652344
