id,time,vx,vy,vz,wx,wy,wz
2022-12-14-08-02-07,1671026534.516333,0.7828284502029419,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.5330908,0.7828284502029419,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.5497725,0.7857294082641602,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.5663283,0.7857294082641602,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.582969,0.7857294082641602,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.5997086,0.7857294082641602,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.6164203,0.7857294082641602,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.6330016,0.7857294082641602,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.6497164,0.7857294082641602,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.6665115,0.7857294082641602,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.6830013,0.7857294082641602,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.701086,0.803411602973938,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.7163386,0.803411602973938,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.7331145,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.7497175,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.7663248,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.7830079,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.7996583,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.816323,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.8330133,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.8497007,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.8669198,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.883028,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.8996649,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.9163108,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.9337165,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.9497478,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.9663768,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.9829879,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026534.9996912,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.0163343,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.033013,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.0496552,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.0663338,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.082987,0.8210937976837158,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.0996826,0.8152227997779846,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.116339,0.8152227997779846,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.133018,0.8152227997779846,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.1496952,0.8152227997779846,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.1663601,0.8152227997779846,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.1829972,0.8152227997779846,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.19969,0.8152227997779846,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.2163765,0.8152227997779846,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.233055,0.8152227997779846,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.2496731,0.8152227997779846,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.2663515,0.8152227997779846,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.2830257,0.8152227997779846,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.3011465,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.3163311,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.3330212,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.3497257,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.3663692,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.382983,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.3996499,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.4163084,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
2022-12-14-08-02-07,1671026535.432975,0.7975406050682068,0.0,0.0,0.0,0.0,0.0
